Country,Date,UV
AGO,2020-04-01,0.2367
AGO,2020-04-02,0.1852
AGO,2020-04-03,0.0936
AGO,2020-04-04,0.1144
AGO,2020-04-05,0.1636
AGO,2020-04-06,0.2386
AGO,2020-04-07,0.2296
AGO,2020-04-08,0.1959
AGO,2020-04-09,0.239
AGO,2020-04-10,0.1331
AGO,2020-04-11,0.1835
AGO,2020-04-12,0.2194
AGO,2020-04-13,0.21319999999999997
AGO,2020-04-14,0.2098
AGO,2020-04-15,0.209
AGO,2020-04-16,0.2114
AGO,2020-04-17,0.2153
AGO,2020-04-18,0.1484
AGO,2020-04-19,0.1944
ATG,2020-02-01,0.1861
ATG,2020-02-02,0.1712
ATG,2020-02-03,0.19699999999999998
ATG,2020-02-04,0.1692
ATG,2020-02-05,0.1382
ATG,2020-02-06,0.1792
ATG,2020-02-07,0.2025
ATG,2020-02-08,0.1711
ATG,2020-02-09,0.1694
ATG,2020-02-10,0.1523
ATG,2020-02-11,0.1731
ATG,2020-02-12,0.1405
ATG,2020-02-13,0.1556
ATG,2020-02-14,0.1706
ATG,2020-02-15,0.1725
ATG,2020-02-16,0.1667
ATG,2020-02-17,0.1345
ATG,2020-02-18,0.1876
ATG,2020-02-19,0.1785
ATG,2020-02-20,0.1819
ATG,2020-02-21,0.2332
ATG,2020-02-22,0.20610000000000003
ATG,2020-02-23,0.2248
ATG,2020-02-24,0.2077
ATG,2020-02-25,0.1984
ATG,2020-02-26,0.1716
ATG,2020-02-27,0.2081
ATG,2020-02-28,0.19899999999999998
ATG,2020-02-29,0.1866
ATG,2020-03-01,0.2309
ATG,2020-03-02,0.2146
ATG,2020-03-03,0.217
ATG,2020-03-04,0.1976
ATG,2020-03-05,0.22399999999999998
ATG,2020-03-06,0.2308
ATG,2020-03-07,0.2476
ATG,2020-03-08,0.251
ATG,2020-03-09,0.2398
ATG,2020-03-10,0.2485
ATG,2020-03-11,0.2448
ATG,2020-03-12,0.2155
ATG,2020-03-13,0.26
ATG,2020-03-14,0.2091
ATG,2020-03-15,0.2358
ATG,2020-03-16,0.2593
ATG,2020-03-17,0.2668
ATG,2020-03-18,0.2502
ATG,2020-03-19,0.2511
ATG,2020-03-20,0.2544
ATG,2020-03-21,0.1961
ATG,2020-03-22,0.2126
ATG,2020-03-23,0.2419
ATG,2020-03-24,0.1817
ATG,2020-03-25,0.2747
ATG,2020-03-26,0.2617
ATG,2020-03-27,0.266
ATG,2020-03-28,0.258
ATG,2020-03-29,0.2693
ATG,2020-03-30,0.2509
ATG,2020-03-31,0.2411
ATG,2020-04-01,0.2722
ATG,2020-04-02,0.2927
ATG,2020-04-03,0.2285
ATG,2020-04-04,0.2621
ATG,2020-04-05,0.1914
ATG,2020-04-06,0.2484
ATG,2020-04-07,0.2726
ATG,2020-04-08,0.268
ATG,2020-04-09,0.2851
ATG,2020-04-10,0.2667
ATG,2020-04-11,0.2888
ATG,2020-04-12,0.268
ATG,2020-04-13,0.225
ATG,2020-04-14,0.2528
ATG,2020-04-15,0.2485
ATG,2020-04-16,0.2683
ATG,2020-04-17,0.2726
ATG,2020-04-18,0.2821
ATG,2020-04-19,0.2377
AZE,2020-02-01,0.0051
AZE,2020-02-02,0.0538
AZE,2020-02-03,0.0668
AZE,2020-02-04,0.0583
AZE,2020-02-05,0.0534
AZE,2020-02-06,0.0636
AZE,2020-02-07,0.0639
AZE,2020-02-08,0.0411
AZE,2020-02-09,0.0242
AZE,2020-02-10,0.0513
AZE,2020-02-11,0.0647
AZE,2020-02-12,0.0689
AZE,2020-02-13,0.0542
AZE,2020-02-14,0.0597
