"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",22.69148,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",20.93642,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",20.94327,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",10.11433,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",10.35064,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",10.05313,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",10.35092,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",9.41093,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",9.33048,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",8.7697,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",8.8526,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",8.07712,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",8.12088,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",22.00119,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",22.26558,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",21.99084,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",22.01619,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",20.10268,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",19.75295,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",18.56035,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",19.16916,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",17.90478,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",17.93355,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",12.11131,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",11.95634,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",11.72598,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",12.29526,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",11.43863,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",10.98741,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",10.27986,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",10.67482,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",9.89562,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",9.91419,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",7.56419,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",7.12927,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",7.21877,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",7.45307,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",6.61322,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",6.4197,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",6.90825,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",6.28585,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.11175,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",6.13443,
"CHE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",12.98989,
"CHE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",13.02684,
"CHE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",13.09833,
"CHE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",13.29447,
"CHE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",12.52265,
"CHE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",12.04835,
"CHE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",11.59223,
"CHE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",11.35572,
"CHE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",10.44713,
"CHE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",10.44407,
"GBR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",12.59064,
"GBR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",12.49076,
"GBR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",12.3034,
"GBR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",12.84189,
"GBR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",11.80623,
"GBR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",11.60548,
"GBR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",10.78696,
"GBR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",10.73807,
"GBR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",10.48657,
"GBR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",10.44482,
"USA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",9.47155,
"USA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",9.55296,
"USA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",9.29297,
"USA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",9.66482,
"USA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",8.96083,
"USA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",8.67383,
"USA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",8.16956,
"USA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",8.01888,
"USA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",7.37633,
"USA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",7.36365,
